Feature,Importance
s0_credamount_770A,94235.50666618347
ap1_annuity_853A_mean,73905.2084197998
ap1_annuity_853A_max,71961.92352104187
WEEK_NUM,71931.68280220032
ap1_credamount_590A_max,62276.15649604797
ap1_credamount_590A_mean,61421.795555114746
s0_annuity_780A,57771.870136260986
s0_currdebt_22A,52508.42364501953
taxa_count,49831.10328102112
bura1_count,49829.81796455383
ap1_credacc_actualbalance_314A_mean,47714.74411392212
per1_total_persons,39541.03647232056
ap1_cancelreason_3545846M_nunique,36677.835624694824
ap1_count,36083.07559585571
fe_dayofweek,29893.640632629395
fe_month,18509.96604347229
ap1_actualdpd_943P_mean,9850.831447601318
burb1_count,9590.359394073486
taxb_count,2981.893299102783
fe_year,307.15420150756836
